lsoa,mean_household_income,energy efficiency,fuel poverty,year_built,heating score,ownership score
E01000122,50237,57.80392156862745,13.0,1939,105.75313445741462,76.96798365122615
E01000123,40482,61.02739726027397,13.5,1992,138.01167315175095,97.49625340599457
E01000124,33548,65.28540772532189,14.4,1918,132.74535235624728,94.9400544959128
E01000126,28229,68.4176245210728,13.9,1982,140.8793774319066,94.38896457765668
E01000127,28760,61.592233009708735,15.6,1929,102.36878512753998,76.3174386920981
E01000128,31055,59.93877551020408,16.7,1929,125.06052745352356,92.04598092643052
E01000129,27617,63.0,12.4,1929,122.08690012970168,89.7908719346049
E01000130,32089,67.57478005865103,16.3,1929,113.02853437094684,79.09025885558583
E01000131,35660,68.80449438202247,15.9,1939,127.27756160830089,90.7758855585831
E01000132,30655,62.25242718446602,10.8,1929,99.21660181582358,72.5282697547684
E01000133,29502,61.77358490566038,16.7,1929,113.02853437094682,84.4308583106267
E01000134,31374,64.45423728813559,13.0,1929,124.35062689148292,90.23978201634876
E01000135,58100,65.77701149425287,17.3,1929,107.33160397751838,77.58753405994551
E01000136,89527,61.32375979112272,20.4,1918,111.53350626891483,81.71321525885558
E01000137,32417,69.62774957698815,11.5,1972,131.33463035019454,98.4574250681199
E01000138,38321,60.54455445544554,12.8,1929,105.16385646346735,75.00953678474114
E01000139,50785,59.16746411483253,20.1,1929,110.3177691309987,80.31301089918256
E01000140,40013,65.87464387464388,21.5,1918,134.95892779939473,94.44891008174386
E01000142,37952,66.66718266253869,17.5,2009,187.2503242542153,128.63044959128064
E01000143,29843,63.793774319066145,14.8,1939,107.72935581495892,78.63044959128064
E01000144,54339,62.97709923664122,12.2,1918,121.06182447038478,82.33208446866485
E01000145,53002,58.21132075471698,13.3,1918,89.35149156939042,62.911103542234336
E01000146,43571,60.271337579617835,12.0,1918,148.67877215737136,101.43562670299728
E01000147,38453,58.45918367346939,12.2,1939,109.82922611327282,79.0323569482289
E01000150,36188,63.45890410958904,8.5,1939,147.81106787721572,106.23024523160764
E01000151,25215,67.78035714285714,12.3,1982,111.7094682230869,93.97309264305176
E01000152,26720,66.38287153652394,8.3,1982,105.49718979680073,84.6474795640327
E01000153,27697,72.15655577299412,14.2,1982,120.7094682230869,86.94891008174389
E01000154,26170,72.14051522248243,11.7,1972,95.0566364029399,73.81777929155314
E01000156,48361,60.59558823529411,10.0,1918,150.93904020752268,105.08412806539508
E01000157,39311,63.012269938650306,13.6,1918,139.378728923476,97.9799046321526
E01000159,42277,65.02739726027397,9.7,1929,129.91180285343708,94.89782016348776
E01000160,53257,66.53108348134991,4.5,1999,185.83960224816252,128.73773841961852
E01000162,39406,60.75675675675676,10.6,1939,110.81971465629051,79.2724795640327
E01000163,32192,68.67302052785924,12.1,1992,151.95417207090358,107.22547683923706
E01000164,34318,64.8781512605042,9.2,1954,129.44271508862948,92.92438692098094
E01000165,44155,69.30504587155963,10.5,1992,141.9312581063554,99.38113079019074
E01000166,41934,62.56231003039514,10.2,1954,131.14526588845658,95.4567438692098
E01000167,34466,62.89928057553957,10.1,1954,105.26632079550367,78.3617166212534
E01000168,60097,55.86138613861386,8.0,1939,116.83527885862514,85.95742506811989
E01000170,38396,61.61892583120205,8.9,1929,132.17725897103327,96.32220708446864
E01000172,50201,60.00732600732601,9.0,1939,121.81452658884568,88.11546321525886
E01000173,48296,59.958188153310104,10.3,1939,125.22049286640726,90.1815395095368
E01000174,37349,61.057046979865774,5.6,1918,152.23692174664936,107.7517029972752
E01000175,51978,59.608247422680414,9.5,1939,125.2187635105923,90.4860354223433
E01000176,33281,70.62632696390658,11.9,1982,139.2118460873325,95.00715258855584
E01000177,54455,58.35128805620609,10.5,1918,138.9234760051881,98.36273841961852
E01000178,52135,60.05227272727273,8.6,1918,139.78080415045395,101.12568119891009
E01000180,41027,65.19073083778966,10.1,1954,138.7016861219196,99.38385558583106
E01000182,58841,62.945945945945944,9.9,1918,150.23562472978816,105.14202997275204
E01000183,60789,59.72404371584699,14.0,1939,117.80112408127972,84.02520435967303
E01000184,31959,69.85833333333333,14.8,1982,98.45092952875056,69.79257493188011
